ItemName_Base.CN =
{
-- ===== Medical =====
ItemName_Base.BoxOfPlainChips = "Box of Plain Chips"
ItemName_Base.BoxOfBarbecueChips = "Box of Barbecue Chips"
ItemName_Base.BoxOfSaltAndVinegarChips = "Box of Salt and Vinegar Chips"
ItemName_Base.BoxOfSourCreamAndOnionChips = "Box of Sour Cream and Onion Chips"
ItemName_Base.BoxOfNettles = "Box of Nettles"
ItemName_Base.BoxOfButter = "Box of Butter"
ItemName_Base.BoxOfTea = "Box of Tea"
ItemName_Base.BoxOfOliveOil = "Box of Olive Oil"
ItemName_Base.BoxOfVegetableOil = "Box of Vegetable Oil"
ItemName_Base.BoxOfYeast = "Box of Yeast"
ItemName_Base.BoxOfRamen = "Box of Ramen"
ItemName_Base.BoxOfSalt = "Box of Salt"
ItemName_Base.BoxOfMargarine = "Box of Margarine"
ItemName_Base.BoxOfLard = "Box of Lard"

-- ===== Uhhh =====
ItemName_Base.BoxOfFrogs = "Box of Frogs"
ItemName_Base.BoxOfToiletPaper = "Box of Toilet Paper"
ItemName_Base.BoxOfPencils = "Box of Pencils"
ItemName_Base.BoxOfHeavySocks = "Box of Heavy Socks"
ItemName_Base.BoxOfEngineParts = "Box of Engine Parts"
ItemName_Base.BoxOfThread = "Box of Thread"
ItemName_Base.BoxOfTwine = "Box of Twine"
ItemName_Base.BoxOfMouseTraps = "Box of Mouse Traps"
ItemName_Base.BoxOfSoap = "Box of Soap"
}
