
------ 3390258342 ::  ------

3390258342::CN::Sandbox_10YearsLater_smallFenceAngleChance_tooltip = "1 = 100%, 3 = 低植被版本",
3390258342::EN::Sandbox_10YearsLater_smallFenceAngleVeg = "Enable vegetation on the small fences corners",
3390258342::CN::Sandbox_10YearsLater_smallFenceAngleVeg = "启用小围栏角落植被",
3390258342::EN::Sandbox_10YearsLater_smallFenceNChance = "Chance to generate vegetation (Small Fence North)",
3390258342::CN::Sandbox_10YearsLater_smallFenceNChance = "生成植被的几率 (北向小围栏)",
3390258342::EN::Sandbox_10YearsLater_smallFenceNChance_tooltip = "1 = 100%, 3 = Low veg version",
3390258342::CN::Sandbox_10YearsLater_smallFenceNChance_tooltip = "1 = 100%, 3 = 低植被版本",
3390258342::EN::Sandbox_10YearsLater_smallFenceNVeg = "Enable vegetation on the north small fences",
3390258342::CN::Sandbox_10YearsLater_smallFenceNVeg = "启用北向小围栏植被",
3390258342::EN::Sandbox_10YearsLater_smallFenceWChance = "Chance to generate vegetation (Small Fence West/East)",
3390258342::CN::Sandbox_10YearsLater_smallFenceWChance = "生成植被的几率 (西/东向小围栏)",
3390258342::EN::Sandbox_10YearsLater_smallFenceWChance_tooltip = "1 = 100%, 3 = Low veg version",
3390258342::CN::Sandbox_10YearsLater_smallFenceWChance_tooltip = "1 = 100%, 3 = 低植被版本",
3390258342::EN::Sandbox_10YearsLater_smallFenceWVeg = "Enable vegetation on west/east small fences",
3390258342::CN::Sandbox_10YearsLater_smallFenceWVeg = "启用西/东向小围栏植被",
3390258342::EN::Sandbox_10YearsLater_wallNChance = "Chance to generate vegetation (North walls)",
3390258342::CN::Sandbox_10YearsLater_wallNChance = "生成植被的几率 (北向墙壁)",
3390258342::EN::Sandbox_10YearsLater_wallNChance_tooltip = "1 = 100%, 3 = Low veg version",
3390258342::CN::Sandbox_10YearsLater_wallNChance_tooltip = "1 = 100%, 3 = 低植被版本",
3390258342::EN::Sandbox_10YearsLater_wallNVeg = "Enable vegetation on north walls",
3390258342::CN::Sandbox_10YearsLater_wallNVeg = "启用北向墙壁植被",
3390258342::EN::Sandbox_10YearsLater_wallWChance = "Chance to generate vegetation (West/East walls)",
3390258342::CN::Sandbox_10YearsLater_wallWChance = "生成植被的几率 (西/东向墙壁)",
3390258342::EN::Sandbox_10YearsLater_wallWChance_tooltip = "1 = 100%, 3 = Low veg version",
3390258342::CN::Sandbox_10YearsLater_wallWChance_tooltip = "1 = 100%, 3 = 低植被版本",
3390258342::EN::Sandbox_10YearsLater_wallWVeg = "Enable vegetation on west/east walls",
3390258342::CN::Sandbox_10YearsLater_wallWVeg = "启用西/东向墙壁植被",
3390258342::EN::UI_FOUNDSOMETHING = "I found something...",
3390258342::CN::UI_FOUNDSOMETHING = "我发现了什么...",
3390258342::EN::UI_GAINSKILL = "Foraging",
3390258342::CN::UI_GAINSKILL = "搜寻",
3390258342::EN::UI_REMOVE_VEG = "Remove vegetation",
3390258342::CN::UI_REMOVE_VEG = "清除植被",


------ 2811383142 :: '83 AM General M923 ------

2811383142::EN::IGUI_VehicleName83amgeneralM923 = "'83 AM General M923 Hillbilly",
2811383142::CN::IGUI_VehicleName83amgeneralM923 = "83款AM通用M923乡巴佬卡车",
2811383142::EN::IGUI_VehiclePartM923CabCovers = "Cab Cover",
2811383142::CN::IGUI_VehiclePartM923CabCovers = "驾驶室顶盖",
2811383142::EN::IGUI_VehiclePartM923GuntruckArmor = "Guntruck Armor",
2811383142::CN::IGUI_VehiclePartM923GuntruckArmor = "武装卡车装甲",
2811383142::EN::IGUI_VehiclePartM923SpareMount = "Spare Tire Mount",
2811383142::CN::IGUI_VehiclePartM923SpareMount = "备胎架",
2811383142::EN::IGUI_VehiclePartM923Stakes = "Flatbed Stakes",
2811383142::CN::IGUI_VehiclePartM923Stakes = "货厢栏板",
2811383142::EN::IGUI_VehiclePartM923Storage = "Side Storage",
2811383142::CN::IGUI_VehiclePartM923Storage = "侧面储物箱",
2811383142::EN::IGUI_VehiclePartM923StorageDoor = "Side Storage Lid",
2811383142::CN::IGUI_VehiclePartM923StorageDoor = "侧面储物箱盖",
2811383142::EN::IGUI_VehiclePartM923Trunk = "Flatbed Storage",
2811383142::CN::IGUI_VehiclePartM923Trunk = "货厢储物区",
2811383142::EN::ItemName_Base.M923Bumper1 = "83 AM General M923 Bumper",
2811383142::CN::ItemName_Base.M923Bumper1 = "83款AM通用M923保险杠",
2811383142::EN::ItemName_Base.M923Bumper2 = "83 AM General M923 Hillbilly Bumper",
2811383142::CN::ItemName_Base.M923Bumper2 = "83款AM通用M923乡巴佬保险杠",
2811383142::EN::ItemName_Base.M923Door2 = "83 AM General M923 Door",
2811383142::CN::ItemName_Base.M923Door2 = "83款AM通用M923车门",
2811383142::EN::ItemName_Base.M923DoorArmor1 = "83 AM General M923 Door Armor",
2811383142::CN::ItemName_Base.M923DoorArmor1 = "83款AM通用M923车门装甲",
2811383142::EN::ItemName_Base.M923EngineDoor2 = "83 AM General M923 Hood",
2811383142::CN::ItemName_Base.M923EngineDoor2 = "83款AM通用M923引擎盖",
2811383142::EN::ItemName_Base.M923FlatbedStakes1 = "83 AM General M923 Flatbed Stakes",
2811383142::CN::ItemName_Base.M923FlatbedStakes1 = "83款AM通用M923货厢栏板",
2811383142::EN::ItemName_Base.M923Gunport2 = "83 AM General M923 Side Gunport",
2811383142::CN::ItemName_Base.M923Gunport2 = "83款AM通用M923射击孔",
2811383142::EN::ItemName_Base.M923GuntruckArmor1 = "83 AM General M923 Guntruck Armor",
2811383142::CN::ItemName_Base.M923GuntruckArmor1 = "83款AM通用M923武装卡车装甲",
2811383142::EN::ItemName_Base.M923HardCover1 = "83 AM General M923 Cab Hard Cover",
2811383142::CN::ItemName_Base.M923HardCover1 = "83款AM通用M923硬质顶盖",
2811383142::EN::ItemName_Base.M923Magazine = "83 AM General M923 Auto Manual",
2811383142::CN::ItemName_Base.M923Magazine = "83款AM通用M923维修手册",
2811383142::EN::ItemName_Base.M923Mudflaps1 = "83 AM General M923 Mudflaps",
2811383142::CN::ItemName_Base.M923Mudflaps1 = "83款AM通用M923挡泥板",
2811383142::EN::ItemName_Base.M923Muffler1 = "83 AM General M923 Muffler",
2811383142::CN::ItemName_Base.M923Muffler1 = "83款AM通用M923消音器",
2811383142::EN::ItemName_Base.M923SideWindow2 = "83 AM General M923 Side Window",
2811383142::CN::ItemName_Base.M923SideWindow2 = "83款AM通用M923侧窗",
2811383142::EN::ItemName_Base.M923SpareMount1 = "83 AM General M923 Spare Tire Mount",
2811383142::CN::ItemName_Base.M923SpareMount1 = "83款AM通用M923备胎架",
2811383142::EN::ItemName_Base.M923Tailgate2 = "83 AM General M923 Tailgate",
2811383142::CN::ItemName_Base.M923Tailgate2 = "83款AM通用M923尾门",
2811383142::EN::ItemName_Base.M923Trunkdoor2 = "83 AM General M923 Storage Lid",
2811383142::CN::ItemName_Base.M923Trunkdoor2 = "83款AM通用M923货厢盖",
2811383142::EN::ItemName_Base.M923Windshield2 = "83 AM General M923 Windshield",
2811383142::CN::ItemName_Base.M923Windshield2 = "83款AM通用M923挡风玻璃",
2811383142::EN::ItemName_Base.M923WindshieldArmor1 = "83 AM General M923 Windshield Armor",
2811383142::CN::ItemName_Base.M923WindshieldArmor1 = "83款AM通用M923挡风玻璃装甲",
2811383142::EN::Recipe_83amgeneralM923.MakeBedPlanks = "Make 83 AM General M923 Bed Planks",
2811383142::CN::Recipe_83amgeneralM923.MakeBedPlanks = "制造83款AM通用M923货厢底板",
2811383142::EN::Recipe_83amgeneralM923.MakeFrontBullbar = "Make 83 AM General M923 Front Bullbar",
2811383142::CN::Recipe_83amgeneralM923.MakeFrontBullbar = "制造83款AM通用M923前防撞栏",
2811383142::EN::Recipe_83amgeneralM923.MakeFrontBumper = "Make 83 AM General M923 Front Bumper",
2811383142::CN::Recipe_83amgeneralM923.MakeFrontBumper = "制造83款AM通用M923前保险杠",
2811383142::EN::Recipe_83amgeneralM923.MakeFrontDoor = "Make 83 AM General M923 Front Door",
2811383142::CN::Recipe_83amgeneralM923.MakeFrontDoor = "制造83款AM通用M923前车门",
2811383142::EN::Recipe_83amgeneralM923.MakeFrontSideWindow = "Make 83 AM General M923 Front Side Window",
2811383142::CN::Recipe_83amgeneralM923.MakeFrontSideWindow = "制造83款AM通用M923前侧窗",
2811383142::EN::Recipe_83amgeneralM923.MakeFrontWindowArmor = "Make 83 AM General M923 Front Window Armor",
2811383142::CN::Recipe_83amgeneralM923.MakeFrontWindowArmor = "制造83款AM通用M923前窗装甲",
2811383142::EN::Recipe_83amgeneralM923.MakeFrontWindshield = "Make 83 AM General M923 Front Windshield",
2811383142::CN::Recipe_83amgeneralM923.MakeFrontWindshield = "制造83款AM通用M923前挡风玻璃",
2811383142::EN::Recipe_83amgeneralM923.MakeFrontWindshieldArmor = "Make 83 AM General M923 Front Windshield Armor",
2811383142::CN::Recipe_83amgeneralM923.MakeFrontWindshieldArmor = "制造83款AM通用M923前挡风玻璃装甲",
2811383142::EN::Recipe_83amgeneralM923.MakeGunPort = "Make 83 AM General M923 Gun Port",
2811383142::CN::Recipe_83amgeneralM923.MakeGunPort = "制造83款AM通用M923射击孔",
2811383142::EN::Recipe_83amgeneralM923.MakeGunTruckArmor = "Make 83 AM General M923 Gun Truck Armor",
2811383142::CN::Recipe_83amgeneralM923.MakeGunTruckArmor = "制造83款AM通用M923武装卡车装甲",
2811383142::EN::Recipe_83amgeneralM923.MakeHardCover = "Make 83 AM General M923 Hard Cover",
2811383142::CN::Recipe_83amgeneralM923.MakeHardCover = "制造83款AM通用M923硬质顶盖",
2811383142::EN::Recipe_83amgeneralM923.MakeHood = "Make 83 AM General M923 Hood",
2811383142::CN::Recipe_83amgeneralM923.MakeHood = "制造83款AM通用M923引擎盖",
2811383142::EN::Recipe_83amgeneralM923.MakeMudflaps = "Make 83 AM General M923 Mudflaps",
2811383142::CN::Recipe_83amgeneralM923.MakeMudflaps = "制造83款AM通用M923挡泥板",
2811383142::EN::Recipe_83amgeneralM923.MakeMuffler = "Make 83 AM General M923 Muffler",
2811383142::CN::Recipe_83amgeneralM923.MakeMuffler = "制造83款AM通用M923消音器",
2811383142::EN::Recipe_83amgeneralM923.MakeTailgate = "Make 83 AM General M923 Tailgate",
2811383142::CN::Recipe_83amgeneralM923.MakeTailgate = "制造83款AM通用M923尾门",
2811383142::EN::Recipe_83amgeneralM923.MakeTrunkLid = "Make 83 AM General M923 Trunk Lid",
2811383142::CN::Recipe_83amgeneralM923.MakeTrunkLid = "制造83款AM通用M923货厢盖",


------ 3422249642 :: Baby Animal Food 42.13+ ------

3422249642::EN::ItemName_Base.FeedForCowcalf = "Feed For Cow Calf",
3422249642::CN::ItemName_Base.FeedForCowcalf = "牛犊饲料",
3422249642::EN::ItemName_Base.FeedForLamb = "Feed For Lamb",
3422249642::CN::ItemName_Base.FeedForLamb = "羊羔饲料",
3422249642::EN::ItemName_Base.FeedForPiglet = "Feed For Piggy",
3422249642::CN::ItemName_Base.FeedForPiglet = "猪仔饲料",
3422249642::EN::ItemName_Base.FeedForRabkitten = "Feed For Rabbit kitten",
3422249642::CN::ItemName_Base.FeedForRabkitten = "幼兔饲料",
3422249642::EN::MakeFeedForCowcalf = "Make Food For Cow Calf",
3422249642::CN::MakeFeedForCowcalf = "制作牛犊饲料",
3422249642::EN::MakeFeedForLamb = "Make Food For Lamb",
3422249642::CN::MakeFeedForLamb = "制作羊羔饲料",
3422249642::EN::MakeFeedForPiglet = "Make Food For Piggy",
3422249642::CN::MakeFeedForPiglet = "制作猪仔饲料",
3422249642::EN::MakeFeedForRabkitten = "Make Food For Rabbit kitten",
3422249642::CN::MakeFeedForRabkitten = "制作幼兔饲料",
3422249642::EN::Tooltip_Recipe_MakeFeedForSmallAnimals = "This food for animals will help you save the animal kids<br>who were left without a mother in this cruel world of zombies.",
3422249642::CN::Tooltip_Recipe_MakeFeedForSmallAnimals = "这种动物饲料有助于拯救<br>在这个残酷的僵尸世界中失去母亲的动物幼崽.",
3422249642::EN::Recipe_MakeFeedForPiglet = "======Original Text Missing====",
3422249642::CN::Recipe_MakeFeedForPiglet = "制作猪仔饲料",
3422249642::EN::Recipe_MakeFeedForRabkitten = "======Original Text Missing====",
3422249642::CN::Recipe_MakeFeedForRabkitten = "制作幼兔饲料",
3422249642::EN::Recipe_MakeFeedForCowcalf = "======Original Text Missing====",
3422249642::CN::Recipe_MakeFeedForCowcalf = "制作牛犊饲料",
3422249642::EN::Recipe_MakeFeedForLamb = "======Original Text Missing====",
3422249642::CN::Recipe_MakeFeedForLamb = "制作羊羔饲料",


------ 3572846242 :: Detailed Skill Tooltips ------

3572846242::EN::IGUI_DST_Agriculture_val_GrowingSeasons = "Learn Growing Seasons for ALL Plants",
3572846242::CN::IGUI_DST_Agriculture_val_GrowingSeasons = "了解所有作物的生长季节",
3572846242::EN::IGUI_DST_Agriculture_val_HoverCrop = "Access to Current Crop Phase and Basic Water Level",
3572846242::CN::IGUI_DST_Agriculture_val_HoverCrop = "查看当前作物生长阶段和灌溉情况",
3572846242::EN::IGUI_DST_Agriculture_val_NextPhase = "Next Phase now visible",
3572846242::CN::IGUI_DST_Agriculture_val_NextPhase = "下个生长阶段信息可见",
3572846242::EN::IGUI_DST_Agriculture_val_WaterLevel = "Water Level now shows a Bar graphic",
3572846242::CN::IGUI_DST_Agriculture_val_WaterLevel = "启用水位进度条",
3572846242::EN::IGUI_DST_Aiming_note_Panic = "Immune to panic gun-damage penalties",
3572846242::CN::IGUI_DST_Aiming_note_Panic = "免疫恐慌导致的枪械伤害惩罚",
3572846242::EN::IGUI_DST_Aiming_note_XP = "XP gain reduced ~37%",
3572846242::CN::IGUI_DST_Aiming_note_XP = "经验获取降低约37%",
3572846242::EN::IGUI_DST_AnimalCare_hdr_EggLayers = "Egg Layer Info:",
3572846242::CN::IGUI_DST_AnimalCare_hdr_EggLayers = "蛋鸡信息:",
3572846242::EN::IGUI_DST_AnimalCare_hdr_Mammals = "Mammal Info:",
3572846242::CN::IGUI_DST_AnimalCare_hdr_Mammals = "哺乳动物信息:",
3572846242::EN::IGUI_DST_AnimalCare_val_Breeding = "Breeding readiness/cooldown",
3572846242::CN::IGUI_DST_AnimalCare_val_Breeding = "繁殖周期",
3572846242::EN::IGUI_DST_AnimalCare_val_Clutch = "Clutch size",
3572846242::CN::IGUI_DST_AnimalCare_val_Clutch = "窝卵数 (周期内产卵的总量)",
3572846242::EN::IGUI_DST_AnimalCare_val_ExactInfo = "Exact health, stress, and age text",
3572846242::CN::IGUI_DST_AnimalCare_val_ExactInfo = "精确的动物健康、压力和年龄文本",
3572846242::EN::IGUI_DST_AnimalCare_val_Fertile = "Fertilized indicator",
3572846242::CN::IGUI_DST_AnimalCare_val_Fertile = "受精指示器",
3572846242::EN::IGUI_DST_AnimalCare_val_Laying = "Laying-period",
3572846242::CN::IGUI_DST_AnimalCare_val_Laying = "产蛋期信息",
3572846242::EN::IGUI_DST_AnimalCare_val_LessInfo = "Less precise health, stress, and age text",
3572846242::CN::IGUI_DST_AnimalCare_val_LessInfo = "大致的动物健康、压力和年龄文本",
3572846242::EN::IGUI_DST_AnimalCare_val_Mating = "Mating-season status",
3572846242::CN::IGUI_DST_AnimalCare_val_Mating = "交配季节状态",
3572846242::EN::IGUI_DST_AnimalCare_val_MoreInfo = "More precise health, stress, and age text",
3572846242::CN::IGUI_DST_AnimalCare_val_MoreInfo = "准确的动物健康、压力和年龄文本",
3572846242::EN::IGUI_DST_AnimalCare_val_Pregnancy = "Pregnancy stage detail increase",
3572846242::CN::IGUI_DST_AnimalCare_val_Pregnancy = "更详细的受孕阶段信息",
3572846242::EN::IGUI_DST_AnimalCare_val_Udder = "Udder state warnings (milk producers)",
3572846242::CN::IGUI_DST_AnimalCare_val_Udder = "乳房状态警告 (产奶动物)",
3572846242::EN::IGUI_DST_AnimalCare_val_Weight = "Weight readout (kg)",
3572846242::CN::IGUI_DST_AnimalCare_val_Weight = "重量读数 (kg)",
3572846242::EN::IGUI_DST_Better = "Better",
3572846242::CN::IGUI_DST_Better = "更好",
3572846242::EN::IGUI_DST_Butchering_val_Hint = "Final yield also depends on animal size, meat ratio, hook/ground, age",
3572846242::CN::IGUI_DST_Butchering_val_Hint = "最终产量还取决于动物的体型、肥瘦比、屠宰方式 (吊钩/地面)以及年龄.",
3572846242::EN::IGUI_DST_Butchering_val_Quality = "x%1 Cut quality bonus",
3572846242::CN::IGUI_DST_Butchering_val_Quality = "x%1切割质量奖励",
3572846242::EN::IGUI_DST_Butchering_val_Quantity = "x%1 Meat yield bonus",
3572846242::CN::IGUI_DST_Butchering_val_Quantity = "x%1肉类产量奖励",
3572846242::EN::IGUI_DST_Carpentry_hint_Handy = "(+100 more if you have the Handy trait)",
3572846242::CN::IGUI_DST_Carpentry_hint_Handy = " (若拥有 '巧手良工' 特性, 再 +100)",
3572846242::EN::IGUI_DST_Carpentry_info_Barricade = "Wood plank barricade HP ≈ 1,000 × barricade mod (≈1.0–1.5 by level)",
3572846242::CN::IGUI_DST_Carpentry_info_Barricade = "木板路障耐久度 ≈ 1,000 × 路障系数 (约 1.0–1.5, 随等级提升)",
3572846242::EN::IGUI_DST_Carpentry_val_BarricadeHP = "Barricade HP (wood plank): ~%1",
3572846242::CN::IGUI_DST_Carpentry_val_BarricadeHP = "路障耐久度 (木板): 约 %1",
3572846242::EN::IGUI_DST_Carpentry_val_WoodHP = "+%1 Wood HP (built wood structures)",
3572846242::CN::IGUI_DST_Carpentry_val_WoodHP = "+%1 木材耐久度 (建造的木结构)",
3572846242::EN::IGUI_DST_CoReq_suffix = "(also requires: %1)",
3572846242::CN::IGUI_DST_CoReq_suffix = " (同时需要: %1)",
3572846242::EN::IGUI_DST_Cooking_note_CookTimeL5 = "Cooking time displayed on tooltips",
3572846242::CN::IGUI_DST_Cooking_note_CookTimeL5 = "提示信息中显示烹饪时间",
3572846242::EN::IGUI_DST_Cooking_val_AddTime = "%1s faster to add ingredients",
3572846242::CN::IGUI_DST_Cooking_val_AddTime = "添加食材速度加快 %1 秒",
3572846242::EN::IGUI_DST_Cooking_val_IngredientUse = "%1% ingredient used",
3572846242::CN::IGUI_DST_Cooking_val_IngredientUse = "%1% 食材用量",
3572846242::EN::IGUI_DST_Cooking_val_NutritionBonus = "+%1% nutrition per ingredient",
3572846242::CN::IGUI_DST_Cooking_val_NutritionBonus = "+%1% 每份食材营养价值",
3572846242::EN::IGUI_DST_Cooking_val_PoisonDetectAll = "Detects any poisoned food",
3572846242::CN::IGUI_DST_Cooking_val_PoisonDetectAll = "可检测出任何有毒食物",
3572846242::EN::IGUI_DST_Cooking_val_PoisonDetectUpto = "Detects poison added by cooks up to Level %1",
3572846242::CN::IGUI_DST_Cooking_val_PoisonDetectUpto = "可检测出等级 %1 及以下厨师添加的毒素",
3572846242::EN::IGUI_DST_Cooking_val_RottenAllowed = "Up to %1% rotten ingredient safely usable",
3572846242::CN::IGUI_DST_Cooking_val_RottenAllowed = "最多可安全使用 %1% 腐烂食材",
3572846242::EN::IGUI_DST_Core_hdr = "Core effects:",
3572846242::CN::IGUI_DST_Core_hdr = "核心效果: ",
3572846242::EN::IGUI_DST_Electrical_hint_GenMagOrOcc = "Read “How to Use Generators” to operate, connect or repair generators",
3572846242::CN::IGUI_DST_Electrical_hint_GenMagOrOcc = "阅读《发电机使用指南》以操作、连接或维修发电机",
3572846242::EN::IGUI_DST_Electrical_val_GenRepair = "Generator repair: +%1% per scrap",
3572846242::CN::IGUI_DST_Electrical_val_GenRepair = "发电机修复: 每个废料 +%1%",
3572846242::EN::IGUI_DST_Electrical_val_HowToUseGen = "Can operate, connect, and repair generators",
3572846242::CN::IGUI_DST_Electrical_val_HowToUseGen = "可操作、连接和维修发电机",
3572846242::EN::IGUI_DST_FirstAid_hint_Removal = "Higher First Aid improves the chance to remove glass and bullets.",
3572846242::CN::IGUI_DST_FirstAid_hint_Removal = "更高急救技能提高取出玻璃和子弹的几率.",
3572846242::EN::IGUI_DST_FirstAid_val_BandageLife = "+%1% Bandage/poultice duration",
3572846242::CN::IGUI_DST_FirstAid_val_BandageLife = "+%1% 绷带 / 药膏持续时间",
3572846242::EN::IGUI_DST_FirstAid_val_FractureHealMult = "×%1 Fracture healing speed",
3572846242::CN::IGUI_DST_FirstAid_val_FractureHealMult = "×%1 骨折愈合速度",
3572846242::EN::IGUI_DST_FirstAid_val_FractureMoveSpeed = "%1% Move speed with a fracture",
3572846242::CN::IGUI_DST_FirstAid_val_FractureMoveSpeed = "%1% 骨折时移动速度",
3572846242::EN::IGUI_DST_Fishing_hdr_SizeChances = "Size Chances:",
3572846242::CN::IGUI_DST_Fishing_hdr_SizeChances = "尺寸概率",
3572846242::EN::IGUI_DST_Fishing_val_CastAccuracy = "x%1 Cast Accuracy",
3572846242::CN::IGUI_DST_Fishing_val_CastAccuracy = "x%1 甩杆准确率",
3572846242::EN::IGUI_DST_Fishing_val_LureLoss = "~%1 Lure Loss per Bite",
3572846242::CN::IGUI_DST_Fishing_val_LureLoss = "每次咬钩假饵损失 ~%1",
3572846242::EN::IGUI_DST_Fishing_val_MaxSize = "Max Catch Size: %1 (~%2 Cal.)",
3572846242::CN::IGUI_DST_Fishing_val_MaxSize = "最大捕获尺寸:%1 (约 %2 卡路里)",
3572846242::EN::IGUI_DST_Fishing_val_NaturalBaitLoss = "<%1 Bait Loss per Bite",
3572846242::CN::IGUI_DST_Fishing_val_NaturalBaitLoss = "每次咬钩饵料损失 <%1",
3572846242::EN::IGUI_DST_Fishing_val_SizeNearShore = "Near Shore: Small %1 | Medium %2 | Big %3",
3572846242::CN::IGUI_DST_Fishing_val_SizeNearShore = "近岸: 小型 %1 | 中型 %2 | 大型 %3",
3572846242::EN::IGUI_DST_Fishing_val_SizeOpenWater = "Open Water: Small %1 | Medium %2 | Big %3",
3572846242::CN::IGUI_DST_Fishing_val_SizeOpenWater = "开阔水域: 小型 %1 | 中型 %2 | 大型 %3",
3572846242::EN::IGUI_DST_Fishing_val_TensionTolerance = "x%1 Line Tension Tolerance",
3572846242::CN::IGUI_DST_Fishing_val_TensionTolerance = "x%1 线张力耐受度",
3572846242::EN::IGUI_DST_Fitness_val_AttackSpeed = "+%1% Attack speed",
3572846242::CN::IGUI_DST_Fitness_val_AttackSpeed = "+%1% 攻击速度",
3572846242::EN::IGUI_DST_Fitness_val_Block = "+%1% Block chance",
3572846242::CN::IGUI_DST_Fitness_val_Block = "+%1% 格挡几率",
3572846242::EN::IGUI_DST_Fitness_val_ClimbTall = "+%1% Tall fence climb chance bonus",
3572846242::CN::IGUI_DST_Fitness_val_ClimbTall = "+%1% 高栅栏攀爬成功率加成",
3572846242::EN::IGUI_DST_Fitness_val_EnduranceLossMult = "%1% Endurance loss multiplier",
3572846242::CN::IGUI_DST_Fitness_val_EnduranceLossMult = "%1% 耐力损失倍率",
3572846242::EN::IGUI_DST_Fitness_val_EnduranceRegenMult = "%1% Endurance recovery multiplier",
3572846242::CN::IGUI_DST_Fitness_val_EnduranceRegenMult = "%1% 耐力恢复倍率",
3572846242::EN::IGUI_DST_Fitness_val_Exertion = "-%1% Exertion gain",
3572846242::CN::IGUI_DST_Fitness_val_Exertion = "-%1% 体能增长",
3572846242::EN::IGUI_DST_Fitness_val_FatigueMult = "%1% Fatigue gain multiplier",
3572846242::CN::IGUI_DST_Fitness_val_FatigueMult = "%1% 疲劳增长倍率",
3572846242::EN::IGUI_DST_Fitness_val_Regen = "+%1% Endurance regen",
3572846242::CN::IGUI_DST_Fitness_val_Regen = "+%1% 耐力回复",
3572846242::EN::IGUI_DST_Fitness_val_Trip = "-%1% Trip chance",
