------ 3153010942 ------
RM_3d938661-1f0b-4795-ac1d-591d0c1d942d = "一位本地机械师的手臂遭受三度烧伤...",
RM_3f5423ec-531d-4980-a441-e2bf05b2799c = "一颗子弹取出来了!",
RM_3f56da7f-0c17-45a2-8051-9841a9ddb219 = "我们应该先取出异物...",
RM_495298db-17f8-448b-aae9-6fef5a5bfee2 = "<大声呻吟>",
RM_4afedd24-e56a-47fb-901d-f8ee9da8842d = "他被同事送到了急诊室...",
RM_4bffe1e6-d5a5-418a-a1fd-88633d1dca40 = "开得太快,失控了...",
RM_4c0fd70e-e6b4-46a3-a5dd-141cc1568015 = "抱歉,蒂米...",
RM_4e21db6d-bb29-41e1-8d45-2826a0aeeb8b = "下午好,我是门罗医生...",
RM_4f55cadf-0c4a-4759-b124-159ad057ef88 = "你妈妈可以帮你换!",
RM_5030824d-4b60-462c-aae5-d62ed749e5ff = "我们可以把他抬上担架了.",
RM_5286b54c-4c01-402e-9679-75501c37b0ff = "谢谢你,医生!",
RM_56112af6-3920-4202-a298-f1d0b7230689 = "我们拿些棉球...",
RM_594995d6-4e63-4c81-a814-9e7af1c0ebf9 = "今天由我来照顾你.",
RM_59f33ecc-113a-4a8b-b7a9-b670a1723f69 = "时间是凌晨01:17...",
RM_5c428047-3633-43e6-80f0-9947c52aeb95 = "这意味着子弹仍然在患者体内!",
RM_61ec5432-fe2b-4583-b1ba-f5977f03b01d = "全部完成,我们来盖上绷带.",
RM_62a808f6-37d2-4f2a-ae94-89758c350a2d = "最后,我们来消毒一下.",
RM_6447fc5a-0502-4c0e-85f7-57096669d4e4 = "确实——可能还有腿部骨折!",
RM_67329806-8834-48ea-a240-f31b262b373d = "警官,情况如何?",
RM_67cfb0ff-3b6b-4b48-8491-6e8088224bb8 = "但现在清理伤口比它感染要好!",
RM_68ac8977-55fc-4cb1-99f5-11c108bbd0d3 = "我能回去工作吗?",
RM_6905bf5a-b4ec-47e0-baea-4a7471920085 = "护士,这位女士还清醒吗?",
RM_6ad07667-7ef9-4cc5-9c62-73f28a51bbfb = "这需要时间恢复.",
RM_6ca6d3c8-8307-45a7-a7c4-ad41ad4b65a9 = "镊子...托盘...",
RM_6d075b9d-2712-4b39-81dc-d62da8b82cf4 = "一名男性.名字是理查德...",
RM_6f98888f-2e1c-4895-b465-8e97d94adee5 = "VHS: 肯塔基医疗前线 E2",
RM_7030bc29-e25a-40f9-9241-d5be57ecfb3d = "哎呀...",
RM_70bcbb6e-8878-4e50-ad06-a94281fb69b7 = "或许卡洛斯应该学习更安全的工作习惯...",
RM_715d0f7d-2943-46f8-a686-26b9ba09511d = "我一直告诉卡洛斯不要在我工作时抽烟!",
RM_73715d9f-f0be-4ae2-8b4c-1fa31824f340 = "我们开始评估患者情况.",
RM_73b3f77d-29f9-4ed8-bcb5-3442b1b85661 = "焊接时丙烷罐爆炸了...",
RM_73d0ab21-768f-476b-8054-e8dfbc23190e = "跟随门罗医生和工作人员,学习如何治疗深伤口,这是本期肯塔基医疗前线的内容.",
RM_74e095e2-0bc0-42e0-96fb-2055815c7752 = "他的母亲急忙将他送进了急诊室...",
RM_753872df-fa43-462b-9d46-4d01facd063f = "保持稳定,不用着急...",
RM_75a5bf2d-f756-477d-b3b4-c1d8ef67ee44 = "谢谢医生.",
RM_7855929f-e86f-4f5e-b53e-1d13002db147 = "你从哪儿学来的这些?",
RM_7a75f3c7-a203-4f8f-86d6-83eb0401aabb = "*叮*",
RM_7d3dc355-5b57-4b0a-ba99-cb714ce3411c = "可以,还需要一些东西来绑住它...",
RM_7e8776f9-de1d-4ba0-a14a-9dfc639b81a2 = "现在可能会有点刺痛...",
RM_809a875f-1a5f-4eec-a07c-1c30634d831d = "在固定之前,我们不能冒险移动他",
RM_80b37630-2fcd-46bc-a89a-60560f05690b = "但我们车里只有两个夹板...",
RM_82c46f42-64b4-4ad7-8eca-816b3e87bcc9 = "谢谢,我们接下来处理.",
RM_83890572-ec4a-40e3-ab42-02d60c05b542 = "这两天注意休息...",
RM_85728c57-627d-4379-9395-665066ec4776 = "我们可以把她转移到重症监护室.",
RM_86a03300-b34c-48d3-9ecd-e30827bda777 = "护士,你的想法很好!",
RM_8869e7a0-c92b-4090-887e-ae953efc3179 = "你觉得我们也能治好他的飙车瘾吗?",
RM_8d1f38ac-4f0c-410c-a247-04e01c624a3a = "在童子军学的...",
RM_8d7ecbab-c0e8-4843-87a1-6a59964faf0d = "也许我们该开始缝合了?",
RM_8ff6c6be-ebb8-42b4-9ccb-515de57d0f73 = "第2集: 深伤口",
RM_91e040db-5de6-4960-8375-147ee6b47347 = "VHS: 肯塔基医疗前线 E1",
RM_93c7331c-f418-4c6f-8b81-0d60af796d1b = "先消毒...",
RM_958edf1f-a034-417d-8f96-f4410fafbe87 = "一起失败的武装抢劫...",
RM_9b8e6828-cbe2-4458-807a-8f94120f7bfb = "一名年轻女性中枪后被紧急送医...",
RM_a07adebe-bdec-4edf-9df7-1ff797ba07f0 = "再拿一条绷带——这有助于保持清洁.",
RM_a3780b47-728f-42e8-9e02-599209132ae4 = "我们建议您休息几周...",
RM_a651276f-271d-455d-889c-be334c65bb8a = "不靠谱——但总比没有强",
RM_a7ceefe7-0b1d-4603-942a-8c504fbeae5f = "您还需要定期更换敷料.",
RM_aca3ea11-8eac-4062-8d0a-7718e0531c90 = "一场高速车祸,他父亲的科赛特车成了碎片...",
RM_ae25d422-5d76-48eb-8999-dc4ec3ea1f49 = "完美,绑在一起并固定到患者身上.",
RM_b49a7726-8c3d-4689-98c2-0eadff2087e6 = "与急救团队一起行动,学习如何治疗骨折的肢体,这是本期肯塔基医疗前线的内容.",
RM_bc2e4c07-78ce-40d8-8aee-864e1a8218f6 = "我们和医护人员一起赶到事故现场...",
RM_c06028fe-b78a-4b24-889e-0adb806c8be8 = "第1集: 撕裂伤",
RM_c0fbfdfb-c9ec-4a96-8782-65d0d998acb4 = "医生,患者看起来很苍白...",
RM_c149d3b3-4442-47de-8c49-4bb36a7d8ba3 = "这样应该可以了...",
RM_c2e2fd91-a8f8-44d1-9e4f-d63f1dc2c0f2 = "车里有些破布...",
RM_c5c971d0-823c-4e09-a875-631c547731a2 = "时间是下午14:50...",
RM_c6e46e67-1f17-4f73-a59a-6a0002d2829b = "跟随门罗医生和工作人员,学习如何治疗烧伤,这是本期肯塔基医疗前线的内容.",
RM_c6f31825-92d3-459f-b795-c484f2cdb9e5 = "我们开始吧,好吗?",
RM_cafe1bd5-17ab-4442-b7d2-cfc77355bb93 = "就在这里,医生!",
RM_cdea6360-92a4-47ab-85ea-6173b6e8725d = "我们会让护士来包扎伤口...",
RM_d4a34c89-05a0-4a5c-83c5-50bc45c599b5 = "徒步旅行遇到麻烦时很管用!",
RM_d8b4a37f-a3ed-4a0f-869d-940673926373 = "<呻吟>",
RM_db15e1df-e477-4b7c-b6df-32c26a11bb81 = "蒂米,看起来你腿上有个严重的伤口.",
RM_dc12d090-a5b5-438d-9173-476e6945decd = "VHS: 肯塔基医疗前线 E4",
RM_ddc8f944-59df-457e-8474-4a36b10d24f7 = "哈哈,恐怕不行!",
RM_e07e72b9-1e52-4824-a134-fa981ecd1712 = "我们来处理一下吧!",
RM_e0df9d6b-f9ad-4290-a21f-37d620b11b86 = "哈哈,保重...",
RM_e29799a8-817c-4d04-b685-26b05933ac16 = "清理烧伤总是很困难...",
RM_e3f016c6-f640-4d7a-bfeb-c8d0167823bc = "时间是上午10:47...",
RM_e4a497fa-68ad-487e-ace8-27bf62df7e47 = "我们用棉球和消毒液怎么样?",
RM_e5279f70-cda1-4dca-8baf-704d93381786 = "我们可以临时做一个",
RM_e63d30e5-9254-4be2-a123-d7b0e34726d9 = "感染会糟糕得多!",
RM_e744b231-ff57-445f-94aa-1c59883f02a6 = "请躺在床上,我们会尽力处理.",
RM_eaa92700-af80-4b5a-ad15-32629c5684d7 = "安德烈亚斯",
RM_f161b3cc-d936-486a-a735-2f64249478e3 = "第二颗也出来了!",
RM_f29c72c9-ec3a-4331-9649-222c9063c303 = "烧伤很容易感染!",
RM_f66352be-fe31-495e-bbb5-8346149c547e = "好多了.",
RM_f70e1dc0-cfda-4a0a-9657-e85670d112fb = "我们赶紧送他去医院...",
RM_f733b08a-cbd5-4948-8cc0-20ac75548008 = "大量失血...",
RM_f93bb0ac-d29f-4b30-a608-72e76a16f149 = "上胸有两处枪伤...",
RM_fa0cceec-f410-4468-8e25-76149b3edd02 = "第4集: 烧伤",
RM_faebe64c-f36f-422f-a2a7-2db82e91dc4d = "所以,我们用些绷带吧.",
RM_fb22f3e9-e5b0-431b-84f0-34d8dd157bde = "<叹气>",
RM_fb6e72d0-200c-4d08-aead-371c11647b56 = "哈,你说得对!",
RM_fd13ee28-0cba-454b-9a3e-01ac59e077b7 = "别担心,看起来只是简单的撕裂伤.",
RM_ff3bdfaf-d654-4ade-a2ac-3141f4c18338 = "VHS: 肯塔基医疗前线 E3",
RM_ffd7ab95-775d-4369-81b8-e7103eb9cd71 = "小家伙,你叫什么名字?",

------ 3403870858 ------

RM_ArtTraining02Author = "卡尔文·派恩",
RM_ArtTraining02DisplayName = "录像带: 绘画视角S2.01",
RM_ArtTraining02Extra = "温和指导艺术课",
RM_ArtTraining02Line01 = "朋友们, 你们好. 我是卡尔文, 今天我们要画一些美好的东西",
RM_ArtTraining02Line02 = "你可能会注意到今天画室感觉更安静一些",
RM_ArtTraining02Line03 = "这是因为艺术可以带来平和…而你值得拥有一份宁静",
RM_ArtTraining02Line04 = "让我们从一把柔软、宽大的画笔开始. 轻轻拂过画布…无需用力",
RM_ArtTraining02Line05 = "顶部涂上一抹天蓝色, 想想世界还在沉睡时的清晨",
RM_ArtTraining02Line06 = "融入几朵柔和的云彩. 它们很乐意随你指引飘向任何地方",
RM_ArtTraining02Line07 = "现在我们来加一条地平线. 它只是天空与大地之间的一条细线",
RM_ArtTraining02Line08 = "画歪了也不用担心. 大自然喜欢一点不规则元素",
RM_ArtTraining02Line09 = "我们会添上远处的树林轮廓, 只是些柔和的形状, 不需要完美的叶子",
RM_ArtTraining02Line10 = "这里点一点绿色, 那里点一点…每棵树都是特别的",
RM_ArtTraining02Line11 = "要知道, 绘画关乎善意. 对你的画布, 也对你自己",
RM_ArtTraining02Line12 = "深呼吸. 你不是在制造产品. 享受这一刻",
RM_ArtTraining02Line13 = "让我们给场景加一个舒适的小屋. 只是两个方形加一个三角形, 不用太复杂",
RM_ArtTraining02Line14 = "也许有人住在里面. 也许他们正在煮热巧克力. 让我们想象他们很快乐",
RM_ArtTraining02Line15 = "从门延伸出一条小路…蜿蜒至它想去的地方. 就像生活一样",
RM_ArtTraining02Line16 = "现在是一条小溪, 水总能找到自己的路. 你也会的",
RM_ArtTraining02Line17 = "加一些高光, 让它在阳光下闪烁",
RM_ArtTraining02Line18 = "如果一条线感觉不对, 轻轻晕开它. 这里没有生硬的橡皮擦",
RM_ArtTraining02Line19 = "让我们在近处画一棵友好的树, 像是探过头来打招呼",
RM_ArtTraining02Line20 = "也许小屋的主人养了一只宠物浣熊. 我喜欢想象它也会画画",
RM_ArtTraining02Line21 = "现在, 退后一步, 看看它多么宁静. 这是你的功劳",
RM_ArtTraining02Line22 = "有时, 最安静的画作诉说得最多",
RM_ArtTraining02Line23 = "让我们加一点金色的光…一个柔和的日落来结束这一天",
RM_ArtTraining02Line24 = "自豪地签上名吧, 你是创造这个世界的温柔灵魂",
RM_ArtTraining02Line25 = "记住: 每一笔都是向你的画布和你自己表达善意的机会",
RM_ArtTraining02Subtitle = "每一笔都是一次安静的冒险",
RM_ArtTraining02Title = "绘画视角 - '平和之道'",
RM_ArtTraining03Author = "卡尔文·派恩",
RM_ArtTraining03DisplayName = "录像带: 绘画视角S2.02",
RM_ArtTraining03Extra = "温和指导艺术课",
RM_ArtTraining03Line01 = "朋友们, 再次向你们问好. 很高兴看到你们回到画架前",
RM_ArtTraining03Line02 = "今天, 我们将为画作增添更多生机和深度",
RM_ArtTraining03Line03 = "只需要几层柔和的叠加, 像低语一样堆叠起来",
RM_ArtTraining03Line04 = "我们从背景开始: 远山, 安静而苍白, 仿佛有些害羞",
RM_ArtTraining03Line05 = "记住: 物体越远, 看起来应该越柔和",
RM_ArtTraining03Line06 = "现在添加中景, 一排树近得足以挥手致意",
RM_ArtTraining03Line07 = "越往前, 颜色用得越深. 就像调高自然的音量",
RM_ArtTraining03Line08 = "在阳光亲吻草地的地方泼洒一抹暖光…那就是奇迹发生之处",
RM_ArtTraining03Line09 = "让我们在这棵友好的大橡树下投下一片柔和的阴影",
RM_ArtTraining03Line10 = "阴影并不可怕. 它们只是光线打盹的凉爽地方",
RM_ArtTraining03Line11 = "你可能会注意到画作现在感觉更深邃了, 仿佛你可以走进去",
RM_ArtTraining03Line12 = "那是你的想象力打开了门. 来吧, 踏进去",
RM_ArtTraining03Line13 = "让我们放置一条蜿蜒的小径, 通向远方…一个你渴望漫步的地方",
RM_ArtTraining03Line14 = "也许它尽头是一座舒适小屋. 也许它永无止境. 这由你决定",
RM_ArtTraining03Line15 = "现在, 最亮的部分, 一束阳光穿过树林.",
RM_ArtTraining03Line16 = "用一点黄色和白色, 刚好可见, 就像颜料画出的微笑",
RM_ArtTraining03Line17 = "突出树叶的顶端, 每棵树都值得拥有闪耀的时刻",
RM_ArtTraining03Line18 = "你看, 描绘光线不在于完美的技巧, 而在于发现美",
RM_ArtTraining03Line19 = "你在生活中留意越多, 你的艺术就越发光彩",
RM_ArtTraining03Line20 = "让我们在小溪中添加一点倒影, 只是天空的柔和镜像",
RM_ArtTraining03Line21 = "每一笔, 你不仅在绘画, 更在练习平和",
RM_ArtTraining03Line22 = "慢慢来. 美好的事物生长缓慢, 如同树木, 如同友谊",
RM_ArtTraining03Line23 = "当你准备好时, 自豪地签上你的名字. 这一刻属于你",
RM_ArtTraining03Line24 = "下次, 我们将探索如何描绘风暴, 因为阴天也同样美丽",
RM_ArtTraining03Line25 = "在那之前, 保持你的画笔轻柔, 心胸开阔",
RM_ArtTraining03Subtitle = "为你的世界增添深度与光线",
RM_ArtTraining03Title = "绘画视角 - '深度与光辉'",
RM_ArtTraining04Author = "卡尔文·派恩",
RM_ArtTraining04DisplayName = "录像带: 绘画视角S2.03",
RM_ArtTraining04Extra = "温和指导艺术课",
RM_ArtTraining04Line01 = "欢迎回来, 朋友们. 今天天色稍暗, 但这没关系",
RM_ArtTraining04Line02 = "风暴出现在自然界, 也出现在生活中. 我们可以用温柔的手笔描绘两者",
RM_ArtTraining04Line03 = "让我们从深灰色的大笔触开始, 设定基调",
RM_ArtTraining04Line04 = "不要害怕黑暗. 它让光明到来时更加美丽",
RM_ArtTraining04Line05 = "在地平线上添加柔和的紫色, 风暴有它们自己静谧的色彩",
RM_ArtTraining04Line06 = "用扇形画笔将云彩像缓慢翻滚的波浪一样拖过天空.",
RM_ArtTraining04Line07 = "现在在雨水积聚厚重的地方加上一笔午夜蓝",
RM_ArtTraining04Line08 = "保持画笔移动, 就像风吹过树林",
RM_ArtTraining04Line09 = "记住, 你不仅在描绘天气, 更在描绘内心的感受",
RM_ArtTraining04Line10 = "一道白色的闪电就能照亮最黑暗的场景",
RM_ArtTraining04Line11 = "让它自由地曲折蜿蜒, 大自然不用尺子",
RM_ArtTraining04Line12 = "用柔和的水色混合风暴的边缘, 赋予它动感",
RM_ArtTraining04Line13 = "现在让我们添加一个剪影: 也许是一座孤零零的小屋, 坚守阵地",
RM_ArtTraining04Line14 = "即使在大雨中, 总有某个地方可以栖身",
RM_ArtTraining04Line15 = "在水坑里点上几点反光, 混乱中的平静",
RM_ArtTraining04Line16 = "注意这幅画如何感觉充满生机, 仿佛你能听到雷声",
RM_ArtTraining04Line17 = "那是你的心通过画笔在诉说",
RM_ArtTraining04Line18 = "如果你在作画时感到悲伤, 没关系, 让画布为你承载它",
RM_ArtTraining04Line19 = "艺术是一个安全的地方, 可以留下你的风暴",
RM_ArtTraining04Line20 = "当你退后看时, 你会看到即使暴风雨也可以如此美丽",
RM_ArtTraining04Line21 = "生活中也是如此, 每场风暴最终都会平息",
RM_ArtTraining04Line22 = "最后在天空轻轻拂过一笔…好了",
RM_ArtTraining04Line23 = "深呼吸. 雷声过去了. 光明回来了",
RM_ArtTraining04Line24 = "下次, 我们将把阳光带回画布, 明亮而大胆",
RM_ArtTraining04Line25 = "在那之前, 保持画笔干净, 精神稳定",
RM_ArtTraining04Subtitle = "在画布上捕捉风暴与原始情感",
RM_ArtTraining04Title = "绘画视角 - '经受灵魂的考验'",
RM_ArtTraining05Author = "卡尔文·派恩",
RM_ArtTraining05DisplayName = "录像带: 绘画视角S2.04",
RM_ArtTraining05Extra = "温和指导艺术课",
RM_ArtTraining05Line01 = "朋友们, 再次问好. 今天阳光微露, 我们将描绘那种感觉",
RM_ArtTraining05Line02 = "我们将把过去的雷雨变成柔和的光线和静谧的倒影",
RM_ArtTraining05Line03 = "先用薄薄的一层淡蓝色涂满天空, 让云彩飘散",
RM_ArtTraining05Line04 = "用一点黄赭色温暖地平线, 那是平静的承诺",
RM_ArtTraining05Line05 = "用干净、干燥的画笔在云层中扫出一道光路",
RM_ArtTraining05Line06 = "混合暖色调高光和冷色调阴影, 这就是雨后清晨的感觉",
RM_ArtTraining05Line07 = "用扇形画笔向下拉几缕阳光, 轻如耳语",
RM_ArtTraining05Line08 = "软化云朵底部, 让它们像友好的船只一样飘走",
RM_ArtTraining05Line09 = "用微小的斜向笔触暗示渐弱的雨, 在地面附近淡化成蒸汽",
RM_ArtTraining05Line10 = "在水坑中映出天空: 平坦、水平的笔触保持水面的平静",
RM_ArtTraining05Line11 = "在小屋屋顶加上清晰的高光, 那是阳光再次找到了家",
RM_ArtTraining05Line12 = "画下悠长柔和的阴影, 表明空气正在变得清澈",
RM_ArtTraining05Line13 = "如果你想要彩虹, 保持含蓄: 一道几乎看不见颜色的柔和弧线",
RM_ArtTraining05Line14 = "点缀几只远处的鸟儿, 只是小小的希望符号",
RM_ArtTraining05Line15 = "给树木上层薄薄的色彩: 向阳面温暖, 背阴面凉爽, 一场色彩间的安静对话",
RM_ArtTraining05Line16 = "用调色刀在水坑中点出微小的闪光, 只是轻点, 不要刮擦",
RM_ArtTraining05Line17 = "在明暗交界处, 给出柔和的边缘, 对比度正是情感显现之处",
RM_ArtTraining05Line18 = "如果任何部分感觉太突兀, 柔和地混合. 平静也有自己的声音",
RM_ArtTraining05Line19 = "刷上新鲜的草芽, 比雨前更浅、更有活力",
RM_ArtTraining05Line20 = "也许小路边有个小邮箱, 等待着好消息",
RM_ArtTraining05Line21 = "退后一步, 眯眼看, 检查你的大形体和明暗的不规则形状",
RM_ArtTraining05Line22 = "在角落签上小名字, 并在水坑里留下它的小小倒影",
RM_ArtTraining05Line23 = "深呼吸. 风暴没有赢, 它教会了光该照向何处",
RM_ArtTraining05Line24 = "下次, 我们将描绘黄昏, 当日与夜握手之时",
RM_ArtTraining05Line25 = "在那之前, 让你的画笔在阳光下起舞",
RM_ArtTraining05Subtitle = "风暴过后: 光线、新生与柔和的色彩",
RM_ArtTraining05Title = "绘画视角 - '暖光与静空'",
RM_ArtTraining06Author = "卡尔文·派恩",
RM_ArtTraining06DisplayName = "录像带: 绘画视角S2.05",
RM_ArtTraining06Extra = "温和指导艺术课",
RM_ArtTraining06Line01 = "欢迎回来, 朋友们. 今天我们将描绘黄昏的静谧",
RM_ArtTraining06Line02 = "这是一个色彩低语而非喧哗的时刻",
RM_ArtTraining06Line03 = "从薰衣草色和蓝色的柔和混合开始, 设定傍晚的天空",
RM_ArtTraining06Line04 = "让光线低沉, 在地平线上渐渐消逝",
RM_ArtTraining06Line05 = "在太阳刚刚告别的地方呼出一抹桃色",
RM_ArtTraining06Line06 = "用水平笔触抚平云彩, 天空正在呼气",
RM_ArtTraining06Line07 = "用勾线笔的笔尖点上最初的星星",
RM_ArtTraining06Line08 = "让它们不均匀, 就像大自然那样, 有些明亮, 有些几乎看不见",
RM_ArtTraining06Line09 = "一层柔和的淡淡的紫色可以暗示夜色从角落悄然蔓延",
RM_ArtTraining06Line10 = "勾勒出树木的剪影: 顶部清晰, 融入暮霭中",
RM_ArtTraining06Line11 = "不要催促黑暗, 让它像老朋友一样到来",
RM_ArtTraining06Line12 = "在静水中添加困倦的倒影: 深沉的色调, 长长的涟漪",
RM_ArtTraining06Line13 = "小屋窗户里的一点橙色可以暗示有人在家",
RM_ArtTraining06Line14 = "在暖光与冷空气相遇处小心混合, 它们需要和睦相处",
RM_ArtTraining06Line15 = "在草地上刷出一条狭窄的小径, 一个可以安静散步的地方",
RM_ArtTraining06Line16 = "保持边缘柔和, 让场景感觉宁静",
RM_ArtTraining06Line17 = "如果某种颜色感觉太强烈, 用一层灰色让它安静下来",
RM_ArtTraining06Line18 = "这是世界仿佛屏住呼吸的时刻",
RM_ArtTraining06Line19 = "注意即使简单的形状在弱光下也感觉富有诗意",
RM_ArtTraining06Line20 = "添加一座远山, 几乎看不见, 只是一个记忆的影子",
RM_ArtTraining06Line21 = "稍微加深角落以引导视线向内",
RM_ArtTraining06Line22 = "退后一步检查: 这幅画是否感觉像安静的音乐?",
RM_ArtTraining06Line23 = "如果是, 那你就做对了, 让平静沉淀下来",
RM_ArtTraining06Line24 = "下次, 我们将在月光下作画, 凉爽而温柔",
RM_ArtTraining06Line25 = "在那之前, 保持色彩柔和, 内心稳定",
RM_ArtTraining06Subtitle = "黄昏与静谧的色彩 - 日夜交汇之处",
RM_ArtTraining06Title = "绘画视角 - '微妙的光线与暮色氛围'",
RM_DancingTraining01Author = "探戈托尼",
RM_DancingTraining01DisplayName = "VHS:托尼舞蹈入门课:初学者版!",
RM_DancingTraining01Extra = "初学者舞蹈教学视频",
RM_DancingTraining01Line01 = "[img=music] 你好,欢迎各位有抱负的舞者! [img=music]",
RM_DancingTraining01Line02 = "今天,我们将引导你学习基础舞步...",
RM_DancingTraining01Line03 = "帮助你自信且有风格地摇摆.",
RM_DancingTraining01Line04 = "首先,我们来学习基本的脚部动作.",
RM_DancingTraining01Line05 = "双脚与肩同宽,站直身体.",
RM_DancingTraining01Line06 = "我们来练习一些简单的侧步...",
RM_DancingTraining01Line07 = "干得不错! 现在我们来学习手臂动作.",
RM_DancingTraining01Line08 = "记得保持手臂放松且流畅.",
RM_DancingTraining01Line09 = "我们将教你一些优雅的手势...",
RM_DancingTraining01Line10 = "是时候把它们全部结合起来!",
RM_DancingTraining01Line11 = "如果一开始觉得有点难,不用担心...",
RM_DancingTraining01Line12 = "多练习,你很快就会成为专家.",
RM_DancingTraining01Line13 = "继续练习,不要害怕尽情释放!",
RM_DancingTraining01Line14 = "舞蹈就是表达自我和享受乐趣.",
RM_DancingTraining01Line15 = "所以,把音乐调大,尽情释放...",
RM_DancingTraining01Line16 = "恭喜!",
RM_DancingTraining01Line17 = "你已经完成了这节入门课!",
RM_DancingTraining01Line18 = "现在去舞池大放异彩吧!",
RM_DancingTraining01Line19 = "记得按自己的节奏来...",
RM_DancingTraining01Line20 = "别忘了享受过程.",
RM_DancingTraining01Line21 = "下次和我们的朋友吉夫·杰克一起调频...",
RM_DancingTraining01Line22 = "我们将深入探讨不同舞蹈风格和技巧.",
RM_DancingTraining01Subtitle = "准备好踏上令人兴奋的舞蹈世界之旅吧!",
RM_DancingTraining01Title = "托尼舞蹈入门课:初学者版!",
RM_DancingTraining02Author = "吉夫·杰克",
RM_DancingTraining02DisplayName = "VHS:吉夫·杰克的酷炫舞步:摇摆起来!",
RM_DancingTraining02Extra = "我们系列中的第二部舞蹈教学视频!",
RM_DancingTraining02Line01 = "[img=music] 嘿,酷炫的家伙们和时髦的宝贝们! [img=music]",
RM_DancingTraining02Line02 = "欢迎回到舞池...",
RM_DancingTraining02Line03 = "再来一轮令人兴奋的舞蹈课.",
RM_DancingTraining02Line04 = "准备好迎接迪斯科、霓虹灯和 1980 年代的氛围!",
RM_DancingTraining02Line05 = "是时候让你的臀部摇摆起来!",
RM_DancingTraining02Line06 = "我们先从 80 年代的标志性舞步开始...",
RM_DancingTraining02Line07 = "我们说的是月球漫步、跑步人...",
RM_DancingTraining02Line08 = "不要害羞,自信地摇摆!",
RM_DancingTraining02Line09 = "想象一下自己在一个有迪斯科球的舞池里...",
RM_DancingTraining02Line10 = "让你的手抓住《周末夜狂热》的节奏.",
RM_DancingTraining02Line11 = "我们将教你一系列有趣的舞步...",
RM_DancingTraining02Line12 = "准备好展示你的舞技!",
RM_DancingTraining02Line13 = "哇! 你抓住了节奏,伙计.",
RM_DancingTraining02Line14 = "继续练习这些舞步,加上你自己的个人风格...",
RM_DancingTraining02Line15 = "很快你就会凭借你那酷炫的舞蹈技巧成为任何派对的焦点.",
RM_DancingTraining02Line16 = "你现在正式获得了像 1985 年那样摇摆的认证!",
